8. 0
Liers Nucl. Phys A170 616 (1971) ________________________ from plot
29 X
78.71 15.14 -1.7
81.22 12.75 -0.6
83.73 10.49 -0.8
86.24 7.940 -1.1
88.74 5.552 -1.5
91.24 4.021 -3.3
96.24 2.288 -0.9
101.22 2.058 -0.7
106.20 2.453 -0.7
111.17 2.676 -0.6
116.12 2.405 -0.9
121.07 1.794 -0.7
126.02 1.118 -2.2
130.95 0.5856 -1.2
135.88 .3301 -0.9
140.80 .3742 -0.8
145.71 .6235 -0.8
150.62 0.9267 -0.7
155.52 1.141 -0.6
160.42 1.177 -0.6
165.32 1.040 -0.9
170.21 0.7540 -1.3
0 A
30.3  -1
Austin et al Phys Rev C 19, 1186 (1979) ________ read from plot
32 X
32.63 24.89 -4.
35.68 64.7  -4.
38.73 100.   -4.
41.78 118.5 -4.
44.82 107.8 -4.
47.97 90.42 -4.
50.91 60.8  -4.
53.95 37.4  -4.
56.98 20.74 -4.
60.02 11.70 -4.
63.00 8.49  -4.
66.08 10.31 1.4
68.09 11.55 -4.
69.11 12.30 1.6
72.12 15.05 2.2
73.13 14.86 -4.
75.14 14.86 2.5
78.16 13.69 -4.
81.17 11.34 -4.
84.18 8.49 -4.
87.19 5.89 -4.
88.19 5.29 -4.
90.19 4.11 -4.
93.19 2.61 -4.
96.18 2.06 -4.
99.18 1.93 -4.
103.16 1.96 -4.
107.14 2.38 -4.
111.12 2.53 -4.
116.08 2.035 -4.
120.03 1.602 -4.
125.97 1.00 -4.
0 A
35.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
49  X
10.22 6918. -1.5 
12.77 4001. -1.6
15.32 2495. -0.9
17.88 1504.  -2.5
20.43 803.9 -1.5
22.98 365.6 -4.1
25.53 135.8 -2.5
28.08 39.25 -5.0
30.62 32.36 -0.8
33.17 64.56 -2.0
35.72 102.3 -0.5
38.26 130.4 -0.7
40.80 135.2 -0.6
43.34 124.8 -1.2
45.88 99.99 -0.9
48.42 74.05 -2.0
50.96 49.55 -1.0
53.49 30.43 -2.8
56.02 18.12 -1.3
58.55 12.63  -1.2
61.08 10.71 -1.3
63.61 11.78 -1.3
66.13 13.47 -0.8
68.65 14.90 -0.7
71.17 14.89 -0.5
73.69 13.79 -1.5
76.21 11.79 -0.6
78.72 9.411 -1.3
81.23 6.964 -0.6
83.74 5.003 -1.3
86.24 3.595 -0.6
88.75 2.570 -2.4
91.25 2.178 -0.5
96.24 2.088 -1.0
101.23 2.184 -0.5
106.20 2.030 -0.6
111.17 1.552 -0.4
116.13 1.050 -0.6
121.08 .6688 -0.8
126.02 .4944 -1.1
130.96 .4026 -0.7
135.88 .3676 -0.7
140.80 .3531 -0.7
145.71 .3769 -0.7
150.62 .4409 -0.7
155.53 .5164  -0.7
160.43 .5338 -0.6
165.32 .4388 -1.2
170.22 .2659 -1.4
0 A
40.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
48  X
10.22 6083. -2.3
12.77 3881 -2.1
15.32 2436.0 -1.7
17.88 1438.0 -3.4
20.43 721.9 -2.5
22.98 297.9 -1.3
25.53 98.43 -1.9
28.08 36.81 -1.0
30.63 49.29 -2.0
33.17 86.21 -2.7
35.72 119.1 -1.1
38.26 131.8 -1.4
40.81 123.3 -0.3
43.35 101.8 -0.6
45.89 73.70 -0.8
48.42 47.96 -1.1
50.96 28.25 -1.0
53.49 16.46 -0.8
56.03 11.31 -0.8
58.56 10.20 -3.9
61.09 11.60 -1.0
63.61 13.27 -0.8
66.14 13.69 -0.5
68.66 12.80 -0.6
71.18 10.96 -0.4
73.69 8.964 -3.0
76.21 6.500 -1.0
78.72 4.499 -1.1
81.23 2.999 -0.7
83.74 2.285 -2.0
86.25 1.914 -1.2
91.25 1.857 -0.8
96.25 1.914 -0.4
101.23 1.568 -0.6
106.21 1.047 -1.5
111.18 0.5904 -1.9
116.14 0.3613 -1.6
121.08 .3125 -0.8
126.03 .3396 -0.6
130.96 .3402 -0.9
135.89 .2918 -0.9
140.80 .2085 -1.2
145.72 0.1484 -1.1
150.63 0.1397 -0.7
155.53 0.1756 -1.3
160.43 0.2073 -0.7
165.32 0.1941 -1.0
170.22 0.1287 -1.2
0 A
45.0  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
49  X
10.22 5791. -1.1 
12.77 3787. -1.0
15.33 2373. -1.0
17.88 1357.  -1.3
20.43 686.8 -1.7
22.98 282.1 -1.6
25.53 100.8 -3.3
28.08 49.03 -0.5
30.63 68.84 -0.6
33.18 102.0 -0.6
35.72 122.4 -0.5
38.27 123.6 -0.3
40.81 102.1  -1.1
43.35 78.01 -0.5
45.89 50.84 -0.6
48.43 30.10 -1.1
50.97 16.72 -1.5
53.50 11.61 -0.8
56.03 9.885 -1.7
58.56 10.78  -0.6
61.09 10.65 -6.2
63.62 11.45 -0.7
66.14 9.828 -3.1
68.66 8.875 -0.7
71.18 6.687 -1.5
73.70 4.897 -1.2
76.22 3.172 -2.1
78.73 2.334 -1.0
81.24 1.765 -0.7
83.75 1.623 -1.7
86.25 1.612 -0.8
88.76 1.745 -1.6
91.26 1.604 -0.7
96.25 1.301 -0.5
101.24 .8078 -1.1
106.22 .4354 -0.8
111.18 .2560 -1.0
116.14 .2214 -1.2
121.09 .2254 -1.7
126.03 .2267 -2.9
130.96 .1923 -1.0
135.89 .1375 -1.1
140.81 .0813 -1.9
145.72 .0463 -1.2
150.63 .0468 -2.
155.53 .0725  -2.6
160.43 .0965 -1.5
165.33 .0979 -1.2
170.22 .0746 -1.8
0 A
48.4 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
48 X
10.22 5046. -.7
12.77 3450. -0.9
15.33 2177.0 -2.1
17.88 1224.0 -2.0
20.43 584.0 -1.8
22.98 224.1 -3.1
25.53 72.01 -3.5
28.08 43.75 -4.7
30.63 70.25 -1.0
33.18 101.8 -2.0
35.72 118.4 -1.9
38.27 110.0 -2.1
40.81 88.70 -0.5
43.35 61.49 -1.3
45.89 37.78 -1.6
48.43 20.96 -1.3
50.97 11.73 -2.0
53.50 9.661 -0.7
56.03 9.655 -.7
58.57 10.72 -0.6
61.10 10.69 -2.5
63.62 9.988 -4.3
66.15 8.765 -0.8
68.67 6.748 -0.8
71.19 4.564 -1.7
73.71 3.069 -0.9
76.22 2.110 -1.1
78.73 1.658 -1.0
81.24 1.481 -0.5
86.26 1.480 -0.6
88.76 1.468 -2.5
91.26 1.295 -0.8
96.26 0.8682 -0.5
101.24 0.4559 -0.6
106.22 0.2413 -0.7
111.19 0.1930 -0.6
116.14 0.1973 -1.2
121.09 0.1851 -0.8
126.03 0.1554 -2.0
130.97 0.1046 -1.1
135.89 0.0668 -0.7
140.81 0.0401 -0.9
145.72 0.0252 -1.3
150.63 0.0264 -1.6
155.53 0.0405 -1.4
160.43 0.0566 -0.8
165.33 0.0582 -1.3
170.22 0.0477 -1.1
0 A
65. 1
Noro Nuc Phys A366, 189 (1981) from DARPE
23 X
24.49 4.032E+01 8.058E-01
25.51 3.44E+01 7.389E-01
26.53 3.620E+01 7.605E-01
27.55 4.213E+01 8.261E-01
28.57 5.214E+01 9.191E-01
29.58 6.161E+01 9.890E-01
30.60 6.834E+01 6.876E-01
33.14 7.428E+01 7.180E-01
35.69 6.354E+01 4.556E-01
38.24 4.399E+01 3.841E-01
40.77 2.619E+01 2.967E-01
43.31 1.317E+01 1.498E-01
45.85 7.298E+00 1.278E-01
48.39 5.679E+00 9.798E-02
50.92 5.944E+00 8.126E-02
53.46 6.070E+00 9.147E-02
55.99 5.645E+00 6.839E-02
58.52 4.482E+00 7.204E-02
61.04 3.074E+00 5.119E-02
63.57 2.091E+00 4.884E-02
66.09 1.240E+00 2.664E-02
68.61 9.147E-01 2.515E-02
71.13 7.885E-01 2.130E-02
24 A
23.47 -0.0706 0.0162
24.49 0.1609 0.0202
25.51 0.5484 0.0188
26.53 0.7818 0.0199
27.55 0.8380 0.0148
28.57 0.7663 0.0170
29.58 0.6833 0.0131
30.60 0.6077 0.0086
33.14 0.4775 0.0101
35.69 0.3908 0.0076
38.24 0.3015 0.0090
40.77 0.2490 0.0119
43.31 0.3021 0.0115
45.85 0.5036 0.0175
48.39 0.8925 0.0148
50.92 0.9963 0.0116
53.46 0.9560 0.0122
55.99 0.8785 0.0104
58.52 0.8081 0.0140
61.04 0.7173 0.0147
63.57 0.6951 0.0213
66.09 0.5796 0.0199
68.61 0.6403 0.0255
71.13 0.7672 0.0228
65.  1
Sakaguchi et al., Phys. Rev. C 26, 944 (1982) _________from table
22 X
24.5 39.7 -4.
25.33 31.6 -4.
26.57 32.9 -4.
27.60 40.5 -4.
28.64 50.00 -4
29.67 60.5 -4
30.71 66.5 -4.
32.99 71.8 -4.
36.30  61.6 -4.
38.17 42.9 -4.
40.65 25.2 -4.
43.34 12.7 -4.
46.24 7.15 -4.
48.73 5.58 -4.
51.01 5.80 -4.
53.28 5.91 -4
55.98 5.48 -4.
59.08 4.27 -4.
61.57 2.98 -4.
63.64 1.99 -4.
65.92  1.21 -4.
68.82  .895 -4.
25 A
18.80 -.0909 .1
23.40 -.0661 .1
24.45 .161   .1
25.39  .545   .1
26.34 .781   .1
27.38  .835   .1
28.53 .764   .1
29.37 .686   .1
30.63 .607   .1
32.93 .475   .1
35.65 .393   .1
38.27  .302   .1
40.79 .248   .1
43.51 .298   .1
45.92 .500   .1
48.43 .888   .1
50.84 .996   .1
53.46  .950   .1
56.18 .872   .1
58.48 .798   .1
60.89 .715   .1
63.61 .694   .1 
66.02 .579   .1
68.53  .636   .1
71.15 .769   .1
200. 1
Murdock Phys Rev C35 1442 (1987) _______________ from DataThief
23 X
12.0067 275.8858 -7.0
12.902 142.3277 -7.0
14.3919 62.7782 -7.0
15.1395 29.7751 -7.0
16.1808 20.7455 -7.0
18.3289 29.012 -7.0
19.2184 30.7932 -7.0
20.3307 31.5216 -7.0
22.1128 24.1691 -7.0
23.2277 17.8822 -7.0
25.3844 8.5767 -7.0
27.6142 4.6951 -7.0
29.7693 2.7626 -7.0
31.7023 1.5494 -7.0
33.7816 1.1051 -7.0
35.6382 0.8173 -7.0
38.0134 0.6494 -7.0
41.8758 0.3149 -7.0
44.1058 0.1683 -7.0
46.1137 0.0857 -7.0
48.1219 0.0421 -7.0
50.2752 0.0311 -7.0
52.2033 0.0319 -7.0
22 A
15.4125 0.5052 0.0168
16.4992 -0.1055 0.0168
17.4417 -0.1961 0.0189
18.7366 0.1089 0.0273
19.5059 0.3404 0.0274
20.7152 0.5634 0.0273
21.6211 0.7233 0.0274
22.5971 0.86 0.0274
23.5662 0.9504 0.0232
27.7463 0.3751 0.0253
29.8019 -0.1473 0.0168
31.7822 -0.1813 0.019
33.9125 0.3047 0.0253
35.968 0.7823 0.021
38.1148 0.881 0.0168
39.7729 0.6555 0.0273
42.1457 0.2909 0.021
44.0777 -0.0714 0.0189
46.0882 -0.4002 0.0274
48.0911 -0.2804 0.0189
50.3148 0.3403 0.0231
52.3591 0.7421 0.021
-1 -1
