9 19
46.04 7.12 0.712
48.58 4.266 0.4266
51.13 3.327 0.3327
53.66 3.261 0.3261
56.2 3.014 0.3014
58.74 2.68 0.268
61.27 2.065 0.2065
63.8 1.449 0.1449
66.33 0.954 0.0954
68.86 0.6527 0.06527
71.38 0.484 0.0484
