14.0667  -0.842346 0.538937
14.1333  -0.844359 0.535778
14.2  -0.84635 0.532627
14.2667  -0.84832 0.529484
14.3333  -0.850269 0.526347
14.4  -0.852198 0.523219
14.4667  -0.854107 0.520097
14.5333  -0.855995 0.516983
14.6  -0.857864 0.513877
14.6667  -0.859713 0.510778
14.7333  -0.861542 0.507686
14.8  -0.863352 0.504602
14.8667  -0.865143 0.501525
14.9333  -0.866915 0.498456
15  -0.868668 0.495394
15.0667  -0.870403 0.49234
15.1333  -0.87212 0.489293
15.2  -0.873818 0.486253
15.2667  -0.875498 0.483221
15.3333  -0.877161 0.480197
15.4  -0.878806 0.477179
15.4667  -0.880433 0.47417
15.5333  -0.882044 0.471167
15.6  -0.883637 0.468172
15.6667  -0.885213 0.465185
15.7333  -0.886773 0.462205
15.8  -0.888316 0.459232
15.8667  -0.889843 0.456267
15.9333  -0.891353 0.453309
16  -0.892848 0.450359
16.0667  -0.894326 0.447416
16.1333  -0.895789 0.44448
16.2  -0.897236 0.441551
16.2667  -0.898668 0.43863
16.3333  -0.900084 0.435717
16.4  -0.901485 0.43281
16.4667  -0.902871 0.429911
16.5333  -0.904242 0.427019
16.6  -0.905599 0.424135
16.6667  -0.906941 0.421258
16.7333  -0.908268 0.418388
16.8  -0.909582 0.415525
16.8667  -0.910881 0.41267
16.9333  -0.912166 0.409821
17  -0.913437 0.40698
17.0667  -0.914694 0.404147
17.1333  -0.915938 0.40132
17.2  -0.917168 0.398501
17.2667  -0.918385 0.395688
17.3333  -0.919588 0.392883
17.4  -0.920779 0.390085
17.4667  -0.921956 0.387294
17.5333  -0.923121 0.38451
17.6  -0.924272 0.381734
17.6667  -0.925411 0.378964
17.7333  -0.926538 0.376201
17.8  -0.927652 0.373446
17.8667  -0.928754 0.370697
17.9333  -0.929843 0.367956
18  -0.930921 0.365221
18.0667  -0.931986 0.362494
18.1333  -0.93304 0.359773
18.2  -0.934082 0.357059
18.2667  -0.935112 0.354352
18.3333  -0.936131 0.351653
18.4  -0.937138 0.34896
18.4667  -0.938134 0.346273
18.5333  -0.939118 0.343594
18.6  -0.940092 0.340922
18.6667  -0.941054 0.338256
18.7333  -0.942006 0.335597
18.8  -0.942946 0.332945
18.8667  -0.943876 0.3303
18.9333  -0.944795 0.327662
19  -0.945704 0.32503
19.0667  -0.946602 0.322405
19.1333  -0.94749 0.319786
19.2  -0.948367 0.317175
19.2667  -0.949234 0.31457
19.3333  -0.950092 0.311971
19.4  -0.950939 0.30938
19.4667  -0.951776 0.306794
19.5333  -0.952603 0.304216
19.6  -0.953421 0.301644
19.6667  -0.954229 0.299078
19.7333  -0.955027 0.296519
19.8  -0.955816 0.293967
19.8667  -0.956595 0.291421
19.9333  -0.957365 0.288881
20  -0.958126 0.286348
