15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
76.34 11.78 -2.5
78.85 11.87 -2.7
81.37 11.59 -2.6
86.38 10.64 -3.3
91.39 7.404 -3.9
96.38 3.709 -5.3
101.36 2.555 -3.3
106.34 1.938 -3.4
111.30 1.924 -2.7
116.26 1.987 -3.4
121.20 1.794 -2.6
126.14 1.318 -3.1
131.06 0.793 -3.0
135.98 0.480 -6.6
140.89 0.479 -4.0
145.79 0.733 -4.1
150.69 1.069 -3.1
155.59 1.313 -3.4
160.47 1.398 -2.8
165.36 1.361 -3.1
170.24 1.180 -3.3
0 A
30.3 1
Hnizdo et al PRC 3, 1560,(1971)table
0 X
34 A
20.48 -.186 .004
23.04 -.273 .002
25.60 -.375 .004
30.71 -.652 .004
33.26 -.282 .007
35.82 .187 .004
38.37 .224 .004
40.92 .156 .003
46.01 .011 .002
48.55 -.054 .002
51.09 -.129 .003
56.17 -.244 .004
61.24 -.32 .003
66.29 -.066 0.005
71.34 .548 .003
76.38 .650 .005
81.41 .491 .004
86.42 .351 .005
91.43 .175 .003
96.42 .037 .003
101.41 .060 .005
106.38 .374 .004
111.34 .773 .005
116.29 .934 .004
121.21 .989 .005
126.17 .976 .004
131.09 .897 .006
136.01 .593 .019
140.92 .266 .010
145.82 .335 .016
150.71 .326 .007
155.60 .267 .012
160.49 .128 .010
165.37 -.035 .012
35.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.24 5562  -3.2 
12.80 3426  -3.1
15.36 2354  -2.6
17.92 1525  -2.5
20.48 959.1 -2.4
23.03 525.5 -2.6
25.59 267.4  -2.5
28.14 106.6 -3.
30.70 47.86  -2.5
33.25 38.42  -2.5
35.80 58.79  -2.4
38.35 77.85  -2.5
40.90 94.19  -2.4
43.44 99.49  -2.5
45.99 99.59  -2.4
48.53 81.66  -2.7
51.07 67.73  -2.4
53.61 47.41  -2.8
56.14 35.11  -2.7
58.68 22.01  -3.1
61.21 15.05  -2.6
63.74 9.683  -3.0
66.26 8.718  -2.8
68.79 8.500  -2.6
71.31 8.606  -2.5
73.83 8.355  -3.0
76.35 8.252  -2.8
78.86 8.004  -2.9
81.37 7.681  -2.5
86.39 5.608  -3.2
91.39 3.286 -3.3
96.39 2.015 -2.8 
101.37 1.250 -2.4
106.35 1.128 -3.
111.31 1.119 -2.5
116.26 1.109 -4.1
121.21 .864 -3.
126.14 .521 -5.5
131.07 .305 -2.9
135.98 .169 -3.1
140.89 .183 -2.5
145.80 .398 -2.9
150.70 .564 -2.5
155.59 .683 -3.2
160.48 .706 -2.7
165.36 .666 -3.7
170.24 .402 -4.4
0 A
40.0 0
McCamis et al, PRC 33 1624 (1986) + Blumberg PR 147, 812 (1966)both from table
44 X
10.26 5665  -3.7
12.80 3709  -3.9
15.36 2407  -3.6
17.92 1691  -3.6
20.48  983.3 -3.2
23.04  516.1 -3.6
25.59  229.0 -3.6
28.15  101.4 -4.2
30.70  65.50 -3.6
33.25  59.80 -3.6
35.80  71.80 -3.3
38.35  97.70 -3.5
40.90  103.4 -3.5
43.45  97.40 -3.5
45.99  77.30 -3.3
48.53  62.52 -2.9
51.07  44.81 -2.6
53.61  31.58 -3.1
56.15  21.28 -2.7
58.68  13.14 -3.3
61.21  9.437 -2.7
63.74  8.423 -2.5
66.27  8.356 -2.6
68.79  8.515 -2.5
71.32  8.094 -2.4
73.84  7.759 -2.4
76.35  6.528 -2.7
78.87  5.597 -3.6
81.38  4.335 -3.0
86.39  2.298 -3.4
91.40  1.349 -3.2
96.39  1.050 -3.1
101.38 0.979 -2.7
106.35 0.913 -2.6
111.32 0.684 -2.6
116.27 0.431 -4.1
121.21 0.333 -3.7
126.15 0.235 -3.6
135.99 0.155 -2.7
140.90 0.167 -2.4
145.80 0.205 -3.3
160.48 0.261 -4.2
165.39 0.210 -6.5
170.24 0.114 -5.1
48 A
10.26 .025 -27.
12.83 -.028 -34.
15.39 -.082 -12.
17.95 -.12 -8.
20.51 -.21 -5.
23.08 -.32 -6.
25.64 -.37 -8.
28.19 -.41 -5.
30.75 -.16 -30.
33.31 .32 -6.
35.86 .34 -3.
38.42 .29 -7.
40.97 .26 -8.
46.06 .083 -7.
48.61 0.012 -42.
51.15 -.02 -24.
56.23 0.027 -18.
58.77 .23 -9.
61.30 .45 -7.
66.36 .80 -6.
71.41 .79 -5.
73.93 .58 -5.
76.45 .58 -7.
78.97 .45 -6.
81.48 .45 -6.
83.99 .31 -9.
86.50 .33 -9.
