17.57 35
37.8198 0.7601 0.07601
41.2932 0.5252 0.05252
46.4514 0.2127 0.02127
49.1357 0.1405 0.01405
51.4514 0.1061 0.01061
54.0302 0.0755 0.00755
56.82 0.0436 0.00436
61.769 0.0106 0.00106
64.2952 0.0079189 0.00079189
67.1891 0.0073651 0.00073651
68.9256 0.006845 0.0006845
70.715 0.0054015 0.00054015
160 43
7.9076 1677.79 167.779
9.5543 1135 113.5
11.3061 700.98 70.098
12.9415 365.793 36.5793
14.0271 202.541 20.2541
15.8697 68.816 6.8816
17.1658 27.534 2.7534
19.125 13.678 1.3678
20.4449 15.607 1.5607
22.0938 18.189 1.8189
23.5206 19.2 1.92
24.9422 16.49 1.649
27.3427 10.594 1.0594
28.8648 6.432 0.6432
31.0413 3.52 0.352
32.9998 2.0489 0.20489
35.1805 1.384 0.1384
37.1439 1.0187 0.10187
39.543 0.6932 0.06932
41.3938 0.4579 0.04579
43.4645 0.3189 0.03189
45.6463 0.2404 0.02404
47.72 0.19358 0.019358
49.6823 0.14412 0.014412
51.8611 0.09816 0.009816
53.8177 0.05837 0.005837
55.8797 0.02958 0.002958
57.7234 0.01528 0.001528
59.9003 0.009863 0.0009863
61.8671 0.0092019 0.00092019
63.7243 0.0085212 0.00085212
65.9099 0.0080421 0.00080421
68.089 0.0058261 0.00058261
69.7188 0.0037876 0.00037876
72.2173 0.0019227 0.00019227
74.056 0.0008329 8.329e-05
76.3286 0.00031334 3.1334e-05
78.1707 0.00023321 2.3321e-05
80.0385 0.00023484 2.3484e-05
81.9032 0.00030827 3.0827e-05
84.2002 0.00032945 3.2945e-05
85.8371 0.00029506 2.9506e-05
88.2396 0.00026978 2.6978e-05
181 27
7.8769 1739.21 173.921
10.3824 836.97 83.697
13.0123 260.54 26.054
14.3323 125.79 12.579
15.4414 47.847 4.7847
16.983 20.526 2.0526
18.2922 17.024 1.7024
19.5956 18.512 1.8512
20.7889 21.59 2.159
21.8751 21.698 2.1698
23.4052 18.405 1.8405
24.6073 15.326 1.5326
25.7039 11.211 1.1211
28.5551 5.0932 0.50932
31.0776 2.5914 0.25914
33.7094 1.3377 0.13377
36.4468 0.81803 0.081803
39.1835 0.52825 0.052825
41.8087 0.38617 0.038617
43.9996 0.31429 0.031429
46.5184 0.17639 0.017639
49.152 0.09396 0.009396
51.6804 0.043023 0.0043023
54.3182 0.01976 0.001976
56.8351 0.014942 0.0014942
59.242 0.012146 0.0012146
61.8672 0.0095001 0.00095001
200 28
9.2844 1092.93 109.293
10.3717 715.366 71.5366
12.1504 401.413 40.1413
13.3403 126.248 12.6248
15.9136 25.4961 2.54961
18.6764 21.8795 2.18795
22.0297 24.6037 2.46037
24.0041 18.44 1.844
25.6851 8.6978 0.86978
27.1672 5.4787 0.54787
28.5512 3.1335 0.31335
30.1323 1.8629 0.18629
32.1084 1.0254 0.10254
33.59 0.7113 0.07113
35.4657 0.5435 0.05435
37.4397 0.44 0.044
40.5985 0.2883 0.02883
42.8692 0.2039 0.02039
43.9559 0.1499 0.01499
45.4381 0.0926 0.00926
47.611 0.0561 0.00561
47.8106 0.036 0.0036
49.3917 0.0214 0.00214
51.1694 0.0146 0.00146
53.143 0.0127 0.00127
54.6226 0.0128 0.00128
55.6101 0.0105 0.00105
59.2623 0.0067641 0.00067641
