9.9 21
46.2667 83.9289 8.39289
50.9179 39.2376 3.92376
55.9779 18.6809 1.86809
61.0665 15.4784 1.54784
66.7659 12.5851 1.25851
71.6506 10.429 1.0429
76.1103 6.1997 0.61997
81.1836 3.8226 0.38226
86.4456 1.7537 0.17537
91.1292 1.5362 0.15362
101.061 0.468 0.0702
111.2 0.1535 0.023025
121.045 0.4619 0.069285
65 27
7.4896 5353.29 889.805
8.562 5684.62 1016.14
9.6297 4526.71 576.78
10.6228 4069.23 409.267
11.6935 3886.34 546.299
12.7589 2700.3 379.579
13.6732 2118.11 352.065
14.6661 1875.42 381.141
15.6577 1539.42 294.132
16.7248 1189.27 227.23
17.9445 891.276 191.81
18.8581 668.054 143.771
19.312 485.908 121.528
20 464.159 116.088
21.3723 337.449 64.4544
23.4275 173.095 30.941
25.6479 183.701 30.5283
27.6331 139.719 26.7002
29.5456 133.383 22.1704
31.7635 121.658 21.7465
33.8283 110.972 15.5992
35.8125 79.4403 14.2001
37.8723 53.5225 7.5272
40.0116 43.2476 6.6395
42.0729 31.9103 6.097
44.0601 27.3972 5.2347
46.0451 20.5244 4.1718
75 8
7.2 4380 1510
9.2 4970 650
11.3 2780 450
13.4 2620 410
15.4 2200 300
17.5 1130 240
19.5 632 149
21.6 307 126
85 8
7.2 4940 1400
9.2 3770 460
11.3 3140 370
13.4 2020 290
15.4 1450 220
17.5 700 133
19.5 313 103
21.6 201 85
95 8
7.2 3780 1170
9.2 3360 420
11.3 2650 350
13.4 1600 250
15.4 909 164
17.5 407 124
19.5 245 95
21.6 82 72
107.5 8
7.2 3900 1270
9.3 3280 440
11.3 1880 360
13.4 1430 250
15.4 829 169
17.5 338 94
19.5 260 79
21.6 105 62
127.5 8
7.2 2840 990
9.3 2130 360
11.3 1400 230
13.4 712 171
15.4 484 117
17.5 149 62
19.5 110 55
21.6 25 37
155 8
7.2 1920 710
9.3 1410 300
11.3 877 182
13.4 471 128
15.4 198 80
17.5 67 48
19.5 55 41
21.6 40 27
185 8
7.2 1520 570
9.3 1040 265
11.3 469 157
13.4 236 110
15.4 110 48
17.5 56 40
19.6 59 50
21.6 16 23.1
