9.9 16
98 -0.199613 -0.714572
99 -0.228038 -0.714562
100 -0.254037 -0.716899
101 -0.277476 -0.721386
102 -0.298236 -0.727831
103 -0.316203 -0.736051
104 -0.331264 -0.745867
105 -0.343304 -0.757105
106 -0.352209 -0.769586
107 -0.35786 -0.783131
108 -0.360142 -0.79755
109 -0.358946 -0.812646
110 -0.354174 -0.828207
111 -0.34575 -0.844005
112 -0.333626 -0.859794
113 -0.317798 -0.875307
114 -0.298322 -0.890257
115 -0.275326 -0.904334
116 -0.24904 -0.917214
117 -0.219806 -0.928558
118 -0.188113 -0.938022
119 -0.154608 -0.945269
120 -0.120118 -0.949988
121 -0.0856609 -0.95191
122 -0.0524403 -0.950832
123 -0.0218277 -0.946653
124 0.00467893 -0.939391
125 0.0255216 -0.929219
126 0.0391751 -0.916478
127 0.0442638 -0.901689
128 0.0396943 -0.885548
129 0.0247912 -0.868894
130 -0.000579645 -0.852667
131 -0.03592 -0.837847
132 -0.080054 -0.825371
133 -0.131141 -0.81606
134 -0.186748 -0.81054
135 -0.243978 -0.80918
136 -0.299631 -0.812055
137 -0.350406 -0.818928
138 -0.393087 -0.829259
139 -0.424742 -0.842237
140 -0.442884 -0.856831
141 -0.445614 -0.871857
142 -0.431719 -0.886052
143 -0.400743 -0.898147
144 -0.353003 -0.906953
145 -0.289573 -0.911426
146 -0.21221 -0.91073
147 -0.123255 -0.904283
148 -0.0254852 -0.891781
149 0.0780473 -0.873202
150 0.184194 -0.848797
151 0.289878 -0.819048
152 0.392247 -0.784628
153 0.488789 -0.746339
154 0.577418 -0.705059
155 0.656514 -0.661685
156 0.724929 -0.617088
157 0.781964 -0.572072
158 0.827318 -0.527352
159 0.861034 -0.483538
160 0.883425 -0.441127
161 0.895014 -0.400505
162 0.896471 -0.361954
163 0.888559 -0.325663
164 0.872088 -0.291739
165 0.847885 -0.26022
166 0.81676 -0.231085
167 0.779495 -0.204271
168 0.736824 -0.179676
169 0.689429 -0.157173
170 0.637938 -0.136616
171 0.58292 -0.117842
172 0.524893 -0.100682
173 0.464323 -0.0849595
174 0.40163 -0.0704945
175 0.337193 -0.0571063
176 0.271356 -0.0446138
177 0.204436 -0.0328364
178 0.136722 -0.0215941
179 0.0684892 -0.0107081
13.9 17
20.5202 -0.0324 0.05
25.099 -0.0237 0.05
29.244 0.0468 0.05
40.0583 0.2834 0.05
51.4839 -0.3395 0.05
60.7494 -0.5917 0.05
70.3313 -0.7007 0.05
81.7815 -0.1578 0.05
87.1343 0.0925 0.05
92.4315 -0.0336 0.05
100.667 -0.2634 0.05
110.86 -0.229 0.05
120.656 0.1115 0.05
125.862 0.3674 0.05
131.428 0.056 0.059
140.811 -0.3957 0.05
159.388 0.4116 0.059
177
3 0.0113934 0.00232122
4 0.0152554 0.00314102
5 0.0191737 0.00400039
6 0.0231636 0.00490934
7 0.0272418 0.00587793
8 0.0314259 0.00691629
9 0.0357352 0.00803457
10 0.0401911 0.00924294
11 0.0448169 0.0105515
12 0.049639 0.0119702
13 0.0546867 0.0135089
14 0.0599936 0.0151767
15 0.0655975 0.0169824
16 0.071542 0.0189336
17 0.0778775 0.0210362
18 0.0846619 0.0232944
19 0.0919631 0.0257088
20 0.09986 0.0282758
21 0.108446 0.0309857
22 0.11783 0.0338198
23 0.128141 0.0367472
24 0.139534 0.0397195
25 0.152189 0.0426641
26 0.166322 0.0454732
27 0.182188 0.0479897
28 0.200086 0.0499861
29 0.220359 0.0511334
30 0.243396 0.0509583
31 0.269609 0.0487801
32 0.299399 0.0436246
33 0.333058 0.0341102
34 0.370598 0.0183104
35 0.411421 -0.0063714
36 0.453784 -0.0432196
37 0.494009 -0.0958924
38 0.525657 -0.167397
39 0.539344 -0.25799
40 0.524512 -0.362347
41 0.474046 -0.468069
42 0.389696 -0.558573
43 0.283242 -0.620325
44 0.171048 -0.648864
45 0.0666294 -0.648659
46 -0.0229531 -0.628464
47 -0.096291 -0.596885
48 -0.155158 -0.560339
49 -0.20246 -0.522881
50 -0.24111 -0.486772
51 -0.273585 -0.453116
52 -0.301841 -0.42235
53 -0.327369 -0.39456
54 -0.351289 -0.369663
55 -0.374438 -0.34752
56 -0.397446 -0.327988
57 -0.420783 -0.310956
58 -0.444802 -0.296362
59 -0.46976 -0.284197
60 -0.495829 -0.27452
61 -0.523107 -0.267456
62 -0.551606 -0.263205
63 -0.581244 -0.262049
64 -0.611825 -0.264353
65 -0.643004 -0.270574
66 -0.674252 -0.281257
67 -0.704804 -0.297036
68 -0.733596 -0.318606
69 -0.759211 -0.346693
70 -0.779822 -0.381976
71 -0.793179 -0.424978
72 -0.796651 -0.475902
73 -0.787391 -0.534417
74 -0.762652 -0.599429
75 -0.72028 -0.668878
76 -0.659331 -0.739685
77 -0.580666 -0.807922
78 -0.487291 -0.869287
79 -0.384216 -0.919805
80 -0.277765 -0.956556
81 -0.174514 -0.978183
82 -0.0802075 -0.985
83 0.000993561 -0.978702
84 0.0667756 -0.961852
85 0.116508 -0.937327
86 0.15083 -0.907888
87 0.171179 -0.875924
88 0.17938 -0.843342
89 0.177352 -0.811574
90 0.166923 -0.781631
91 0.149734 -0.754192
92 0.127209 -0.729678
93 0.100555 -0.708324
94 0.0707792 -0.690234
95 0.0387242 -0.675424
96 0.00509192 -0.663851
97 -0.0295256 -0.655438
98 -0.0646219 -0.650083
99 -0.0997549 -0.647675
100 -0.134529 -0.648093
101 -0.168579 -0.651218
102 -0.201558 -0.656925
103 -0.233129 -0.665091
104 -0.262948 -0.675589
105 -0.290665 -0.688288
106 -0.315909 -0.703051
107 -0.338286 -0.71973
108 -0.357369 -0.738161
109 -0.372698 -0.758162
110 -0.383775 -0.779523
111 -0.390061 -0.802
112 -0.390982 -0.82531
113 -0.385933 -0.849116
114 -0.374298 -0.873023
115 -0.355467 -0.896567
116 -0.328877 -0.919206
117 -0.294068 -0.940321
118 -0.250748 -0.959214
119 -0.198892 -0.975128
120 -0.13885 -0.98727
121 -0.071469 -0.994862
122 0.00178862 -0.997213
123 0.0787653 -0.99381
124 0.15659 -0.984425
125 0.231764 -0.969218
126 0.300386 -0.948819
127 0.358491 -0.924348
128 0.402496 -0.897368
129 0.42965 -0.869752
130 0.438392 -0.843485
131 0.428548 -0.820446
132 0.40131 -0.802204
133 0.359026 -0.789876
134 0.304865 -0.784066
135 0.242444 -0.784869
136 0.175487 -0.79194
137 0.107565 -0.804586
138 0.041927 -0.82186
139 -0.0185883 -0.842649
140 -0.0715762 -0.865748
141 -0.115056 -0.889905
142 -0.147442 -0.913858
143 -0.167518 -0.936366
144 -0.174419 -0.956222
145 -0.167619 -0.972279
146 -0.146947 -0.983472
147 -0.112599 -0.988846
148 -0.0651569 -0.987591
149 -0.00561147 -0.979079
150 0.0646371 -0.962901
151 0.143793 -0.938903
152 0.229705 -0.907208
153 0.31994 -0.868229
154 0.411881 -0.822655
155 0.502845 -0.771428
156 0.590212 -0.715686
157 0.671557 -0.656708
158 0.744755 -0.595834
159 0.80807 -0.534398
160 0.860201 -0.473655
161 0.900301 -0.414732
162 0.927954 -0.358582
163 0.943136 -0.305969
164 0.946155 -0.257458
165 0.937578 -0.213422
166 0.918162 -0.174061
167 0.888791 -0.139421
168 0.850418 -0.109422
169 0.804016 -0.0838823
170 0.750545 -0.0625441
171 0.690927 -0.0450919
172 0.626027 -0.0311715
173 0.556649 -0.020404
174 0.483527 -0.0123964
175 0.407332 -0.00674946
176 0.328675 -0.00306263
177 0.248114 -0.000937523
178 0.166163 2.08535e-05
179 0.0833057 0.00020387
16.9 17
19.3911 0.0377 0.05
27.8108 -0.0235 0.05
36.0607 0.3674 0.0675
42.5827 -0.1378 0.05
46.5785 -0.3201 0.0618
51.6005 -0.3507 0.059
60.3228 -0.558 0.05
70.506 -0.4478 0.05
81.2606 0.0556 0.0534
91.1554 0.0254 0.05
100.318 -0.1286 0.05
109.918 -0.1701 0.05
120.09 0.1788 0.0674
130.847 0.6205 0.0927
140.624 -0.0137 0.0899
150.083 -0.1873 0.0618
157.887 0.2514 0.0675
177
3 0.00527225 0.000345056
4 0.00708787 0.000551966
5 0.00895487 0.00083929
6 0.010888 0.00122925
7 0.0129036 0.00174557
8 0.0150194 0.00241386
9 0.0172557 0.00326209
10 0.0196355 0.00432108
11 0.0221852 0.00562517
12 0.0249357 0.00721291
13 0.0279233 0.009128
14 0.0311906 0.0114203
15 0.0347893 0.0141474
16 0.0387815 0.0173759
17 0.0432428 0.0211839
18 0.048267 0.025663
19 0.0539706 0.0309224
20 0.0605007 0.0370923
21 0.0680449 0.0443292
22 0.0768465 0.0528229
23 0.0872247 0.0628039
24 0.099606 0.0745538
25 0.11457 0.0884155
26 0.132921 0.104803
27 0.155797 0.124206
28 0.184846 0.147164
29 0.222507 0.174182
30 0.272457 0.205446
31 0.340278 0.240038
32 0.434185 0.273744
33 0.564528 0.293168
34 0.735779 0.261674
35 0.911505 0.100642
36 0.952504 -0.261133
37 0.729089 -0.679866
38 0.395343 -0.896297
39 0.145657 -0.915709
40 0.000225606 -0.856906
41 -0.0797029 -0.784326
42 -0.124341 -0.718495
43 -0.150408 -0.663451
44 -0.166602 -0.618456
45 -0.177505 -0.581763
46 -0.185609 -0.551693
47 -0.192332 -0.526871
48 -0.198515 -0.506229
49 -0.204683 -0.488952
50 -0.211183 -0.474423
51 -0.21826 -0.462176
52 -0.2261 -0.451865
53 -0.234857 -0.443238
54 -0.244662 -0.436121
55 -0.255635 -0.430407
56 -0.267885 -0.426052
57 -0.28151 -0.423069
58 -0.29659 -0.42153
59 -0.313181 -0.42157
60 -0.331295 -0.423389
61 -0.350882 -0.427255
62 -0.371802 -0.433507
63 -0.393786 -0.44255
64 -0.416393 -0.454849
65 -0.438964 -0.470897
66 -0.460571 -0.491176
67 -0.479993 -0.516086
68 -0.495722 -0.545845
69 -0.50603 -0.580381
70 -0.509118 -0.619212
71 -0.503348 -0.661366
72 -0.487531 -0.705378
73 -0.461201 -0.749394
74 -0.424795 -0.791383
75 -0.379656 -0.829416
76 -0.327846 -0.861933
77 -0.271829 -0.887922
78 -0.214117 -0.906976
79 -0.156966 -0.919228
80 -0.102203 -0.925218
81 -0.0511594 -0.925729
82 -0.00470283 -0.921651
83 0.0366825 -0.91387
84 0.0727966 -0.903209
85 0.103631 -0.890393
86 0.129295 -0.876045
87 0.149956 -0.860688
88 0.165807 -0.844765
89 0.177037 -0.82865
90 0.183828 -0.812665
91 0.18634 -0.797096
92 0.184725 -0.7822
93 0.17912 -0.768216
94 0.169661 -0.755371
95 0.156491 -0.743882
96 0.139764 -0.733959
97 0.11966 -0.725805
98 0.0963913 -0.719613
99 0.0702088 -0.715563
100 0.0414141 -0.71382
101 0.0103654 -0.714526
102 -0.0225155 -0.717796
103 -0.056736 -0.723713
104 -0.0917272 -0.732316
105 -0.126838 -0.743596
106 -0.161332 -0.757485
107 -0.194382 -0.773852
108 -0.225068 -0.792487
109 -0.25238 -0.813093
110 -0.275216 -0.83528
111 -0.292398 -0.858549
112 -0.302681 -0.882287
113 -0.304784 -0.90576
114 -0.297431 -0.928112
115 -0.279411 -0.948369
116 -0.249663 -0.965463
117 -0.207384 -0.978259
118 -0.152162 -0.985617
119 -0.0841277 -0.986469
120 -0.0041045 -0.979919
121 0.0862642 -0.965372
122 0.184447 -0.942652
123 0.287049 -0.912115
124 0.389965 -0.874713
125 0.488654 -0.831993
126 0.57853 -0.786005
127 0.655392 -0.739144
128 0.715829 -0.69392
129 0.757521 -0.652726
130 0.779381 -0.617621
131 0.781535 -0.590181
132 0.765156 -0.571431
133 0.732226 -0.561839
134 0.685248 -0.561375
135 0.626999 -0.569602
136 0.560313 -0.585776
137 0.487936 -0.608937
138 0.412432 -0.637991
139 0.33614 -0.671764
140 0.261168 -0.709043
141 0.189408 -0.748593
142 0.122566 -0.78917
143 0.0621879 -0.829519
144 0.00969281 -0.868366
145 -0.0336085 -0.904417
146 -0.0665046 -0.936352
147 -0.0878889 -0.962831
148 -0.0967822 -0.982504
149 -0.0923733 -0.994044
150 -0.0740777 -0.996184
151 -0.041612 -0.98778
152 0.00492108 -0.967892
153 0.0649458 -0.935867
154 0.137338 -0.891441
155 0.220378 -0.834827
156 0.311743 -0.766782
157 0.408563 -0.688639
158 0.507536 -0.602285
159 0.605108 -0.510082
160 0.697686 -0.414728
161 0.781882 -0.319087
