NEnergy= 43.8456   Entries 12
NEnergy= 36.7456   Entries 12
0    0.0125384   0.0198457   
1    0.0462268   0.032873    
2    0.0558858   0.0679414   
3    0.0820341   0.108539    
4    0.113875    0.112818    
5    0.170282    0.0448969   
6    0.0099988   0.0944074   
7    0.0175529   0.00279027  
8    0.00136036  0.00424125  
9    0.00189301  0           
10   0           0           
11   0           0           
NEnergy= 36.6456   Entries 12
0    0.0125593   0.0198266   
1    0.0462822   0.0328856   
2    0.0560273   0.06796     
3    0.0820249   0.108769    
4    0.113616    0.113209    
5    0.170761    0.0446013   
6    0.00989661  0.09406     
7    0.0173707   0.00276492  
8    0.0013329   0.00420026  
9    0.00185302  0           
10   0           0           
11   0           0           
NEnergy= 36.5456   Entries 12
0    0.0125777   0.0198059   
1    0.046331    0.0328921   
2    0.0561647   0.0679681   
3    0.0820142   0.108989    
4    0.113357    0.113595    
5    0.171241    0.0443139   
6    0.00980137  0.0937255   
7    0.0172013   0.00274102  
8    0.0013062   0.00416155  
9    0.0018142   0           
10   0           0           
11   0           0           
NEnergy= 36.4456   Entries 12
0    0.0125932   0.0197834   
1    0.0463722   0.0328924   
2    0.0562981   0.0679653   
3    0.0820024   0.109199    
4    0.113098    0.113975    
5    0.171725    0.0440347   
6    0.00971285  0.0934028   
7    0.0170442   0.00271857  
8    0.00128033  0.00412513  
9    0.00177663  0           
10   0           0           
11   0           0           
NEnergy= 36.3456   Entries 12
0    0.0126058   0.019759    
1    0.0464049   0.0328867   
2    0.0564282   0.0679516   
3    0.0819901   0.109403    
4    0.112841    0.114352    
5    0.172213    0.0437626   
6    0.00963061  0.0930887   
7    0.0168985   0.00269751  
8    0.00125531  0.00409091  
9    0.00174035  0           
10   0           0           
11   0           0           
NEnergy= 36.2456   Entries 12
0    0.0126152   0.0197329   
1    0.0464294   0.0328753   
2    0.0565561   0.0679278   
3    0.0819783   0.109602    
4    0.112586    0.114726    
5    0.172704    0.0434967   
6    0.0095542   0.0927801   
7    0.0167631   0.00267783  
8    0.00123114  0.00405882  
9    0.00170535  0           
10   0           0           
11   0           0           
NEnergy= 36.1456   Entries 12
0    0.0126219   0.0197052   
1    0.0464462   0.0328595   
2    0.0566839   0.0678956   
3    0.0819696   0.109797    
4    0.112334    0.115097    
5    0.173195    0.0432356   
6    0.00948274  0.0924736   
7    0.0166365   0.00265923  
8    0.00120771  0.00402841  
9    0.00167146  0           
10   0           0           
11   0           0           
NEnergy= 36.0456   Entries 12
0    0.012626    0.0196769   
1    0.0464567   0.0328399   
