NEnergy= 41.6138   Entries 12
8    0.0012044   0.0565132   
9    0.0645791   0           
10   0           0           
11   0           0           
NEnergy= 37.9138   Entries 12
0    0.00556445  0.0221057   
1    0.058327    0.0120439   
2    0.0141819   0.0753539   
3    0.101955    0.019465    
4    0.0221423   0.117669    
5    0.148824    0.0154302   
6    0.00843578  0.160445    
7    0.0925471   0.00284616  
8    0.00119701  0.0569976   
9    0.0644686   0           
10   0           0           
11   0           0           
NEnergy= 37.8138   Entries 12
0    0.00547955  0.0219099   
1    0.0579699   0.0119309   
2    0.014127    0.075146    
3    0.102152    0.0196906   
4    0.0224231   0.117923    
5    0.149229    0.0153798   
6    0.00826192  0.160566    
7    0.0921923   0.00279795  
8    0.00118763  0.0574071   
9    0.0642271   0           
10   0           0           
11   0           0           
NEnergy= 37.7138   Entries 12
0    0.00539239  0.0217371   
1    0.0576746   0.0118079   
2    0.0140586   0.0750114   
3    0.102426    0.0198931   
4    0.022685    0.118225    
5    0.149665    0.0153304   
6    0.00809338  0.16066     
7    0.0917978   0.00274718  
8    0.00117653  0.0577456   
9    0.0638736   0           
10   0           0           
11   0           0           
NEnergy= 37.6138   Entries 12
0    0.00530467  0.0215875   
1    0.0574378   0.011679    
2    0.013981    0.0749435   
3    0.102768    0.0200762   
4    0.0229295   0.118569    
5    0.150124    0.0152821   
6    0.0079314   0.160716    
7    0.0913666   0.00269481  
8    0.00116405  0.0580186   
9    0.0634262   0           
10   0           0           
11   0           0           
NEnergy= 37.5138   Entries 12
0    0.00521738  0.0214595   
1    0.0572532   0.0115471   
2    0.0138974   0.0749334   
3    0.103167    0.0202435   
4    0.0231582   0.118945    
5    0.150602    0.0152347   
6    0.00777644  0.160733    
7    0.0909052   0.00264167  
8    0.00115055  0.058233    
9    0.0629021   0           
10   0           0           
11   0           0           
NEnergy= 37.4138   Entries 12
0    0.00513086  0.0213477   
1    0.0571062   0.0114144   
2    0.0138108   0.0749641   
3    0.103603    0.0204015   
4    0.0233772   0.119341    
5    0.15109     0.0151903   
6    0.00762874  0.16072     
7    0.0904271   0.00258824  
8    0.00113625  0.0584002   
9    0.0623213   0           
10   0           0           
11   0           0           
NEnergy= 37.3138   Entries 12
0    0.00504554  0.0212499   
1    0.0569898   0.0112822   
2    0.0137231   0.0750279   
3    0.104068    0.0205527   
4    0.0235875   0.11975     
5    0.151587    0.015148    
6    0.00748748  0.160684    
7    0.0899389   0.00253507  
8    0.00112144  0.058526    
9    0.0616958   0           
10   0           0           
11   0           0           
NEnergy= 37.2138   Entries 12
0    0.00496172  0.0211635   
1    0.0568968   0.0111513   
2    0.0136357   0.0751161   
3    0.104551    0.0206992   
4    0.0237894   0.120162    
5    0.152087    0.0151068   
6    0.00735163  0.160636    
7    0.08945     0.00248254  
8    0.00110633  0.0586164   
9    0.0610363   0           
10   0           0           
11   0           0           
NEnergy= 37.1138   Entries 12
0    0.00487954  0.0210838   
1    0.0568159   0.0110227   
2    0.0135501   0.0752158   
3    0.105038    0.020845    
4    0.0239864   0.120569    
5    0.152588    0.0150673   
6    0.00722035  0.160589    
7    0.0889724   0.00243078  
8    0.001091    0.0586794   
9    0.0603549   0           
10   0           0           
11   0           0           
NEnergy= 37.0138   Entries 12
0    0.00479925  0.0210078   
1    0.0567381   0.0108972   
2    0.0134677   0.075317    
3    0.105518    0.0209928   
4    0.0241806   0.120962    
5    0.153086    0.0150295   
6    0.00709271  0.160557    
7    0.0885159   0.00237988  
8    0.00107553  0.0587215   
9    0.0596613   0           
10   0           0           
11   0           0           
NEnergy= 36.9138   Entries 12
0    0.00472114  0.0209331   
1    0.0566573   0.0107754   
2    0.0133895   0.0754122   
3    0.105982    0.0211445   
4    0.0243729   0.121334    
5    0.153578    0.014993    
6    0.00696789  0.160548    
7    0.0880881   0.00233001  
8    0.00105998  0.0587482   
9    0.0589636   0           
10   0           0           
11   0           0           
NEnergy= 36.8138   Entries 12
0    0.00464545  0.0208567   
1    0.0565651   0.0106582   
2    0.0133168   0.0754922   
3    0.106419    0.0213032   
4    0.0245665   0.121677    
5    0.154065    0.0149584   
6    0.00684545  0.160571    
7    0.0876963   0.00228126  
8    0.00104438  0.0587665   
9    0.0582714   0           
10   0           0           
11   0           0           
NEnergy= 36.7138   Entries 12
0    0.0045725   0.0207763   
1    0.0564546   0.0105464   
2    0.0132508   0.0755485   
3    0.106819    0.0214705   
4    0.0247628   0.121983    
5    0.154538    0.0149266   
6    0.00672531  0.160634    
7    0.0873498   0.00223378  
8    0.00102874  0.058785    
9    0.0575947   0           
10   0           0           
11   0           0           
NEnergy= 36.6138   Entries 12
0    0.00450256  0.0206893   
1    0.056319    0.0104406   
2    0.0131924   0.0755731   
3    0.107172    0.0216486   
4    0.0249641   0.122244    
5    0.154994    0.0148984   
6    0.00660764  0.160742    
7    0.0870559   0.00218776  
8    0.00101309  0.0588125   
9    0.0569435   0           
10   0           0           
11   0           0           
NEnergy= 36.5138   Entries 12
0    0.00443588  0.0205936   
1    0.0561519   0.0103417   
2    0.0131428   0.0755586   
3    0.107469    0.0218396   
4    0.025173    0.122453    
5    0.155427    0.0148753   
6    0.00649283  0.160898    
7    0.0868209   0.00214336  
8    0.000997445 0.0588579   
9    0.0563273   0           
10   0           0           
11   0           0           
NEnergy= 36.4138   Entries 12
0    0.00437268  0.0204854   
1    0.0559433   0.0102508   
2    0.0131038   0.0754936   
3    0.107698    0.0220476   
4    0.0253948   0.122602    
5    0.155832    0.0148602   
6    0.00638166  0.161108    
7    0.0866533   0.00210063  
8    0.000981765 0.0589323   
9    0.0557578   0           
10   0           0           
11   0           0           
NEnergy= 36.3138   Entries 12
0    0.00431314  0.0203643   
1    0.0556912   0.0101683   
2    0.0130758   0.0753763   
3    0.107856    0.022273    
4    0.0256299   0.122689    
5    0.156209    0.0148533   
6    0.00627442  0.161368    
7    0.0865532   0.00205974  
8    0.000966082 0.0590403   
9    0.0552394   0           
10   0           0           
11   0           0           
NEnergy= 36.2138   Entries 12
0    0.00425742  0.0202301   
1    0.0553949   0.0100942   
2    0.013059    0.0752057   
3    0.107942    0.0225155   
4    0.025878    0.122711    
5    0.156553    0.0148547   
6    0.00617138  0.16168     
7    0.086521    0.00202082  
8    0.000950406 0.0591853   
9    0.0547751   0           
10   0           0           
11   0           0           
